id,talk_time,talk_charge,sms,sms_charge,total_charge,plan
1,91,4553,594,118.8,4705.8,PlanA
2,66,3301,660,132,3456,PlanA
3,2,103,981,196.2,339.2,PlanA
4,62,3103,299,59.8,3207.8,PlanA
5,70,3505,631,126.2,3645.2,PlanA
6,97,4854,696,139.2,5031.2,PlanA
7,27,1354,249,49.8,1405.8,PlanA
8,59,2952,410,82,3064,PlanA
9,4,201,62,12.4,248.4,PlanA
11,37,1853,606,121.2,1992.2,PlanA
12,14,704,645,129,874,PlanA
13,65,3255,626,125.2,3392.2,PlanA
14,3,152,609,121.8,316.8,PlanA
15,1,54,61,12.2,71.2,PlanA
16,26,1303,108,21.6,1338.6,PlanA
17,39,1954,122,24.4,2002.4,PlanA
18,58,2904,695,139,3062,PlanA
19,18,901,856,171.2,1098.2,PlanA
21,63,3155,920,184,3362,PlanA
22,98,4901,394,78.8,5000.8,PlanA
23,64,3202,272,54.4,3259.4,PlanA
24,19,955,77,15.4,997.4,PlanA
25,20,1001,849,169.8,1181.8,PlanA
26,62,3105,537,107.4,3230.4,PlanA
27,10,501,395,79,628,PlanA
28,55,2751,238,47.6,2833.6,PlanA
29,46,2303,546,109.2,2435.2,PlanA
30,6,302,499,99.8,416.8,PlanA
31,62,3104,756,151.2,3294.2,PlanA
32,95,4754,776,155.2,4917.2,PlanA
33,26,1301,249,49.8,1389.8,PlanA
34,77,3855,802,160.4,4019.4,PlanA
35,34,1703,807,161.4,1871.4,PlanA
36,63,3154,429,85.8,3273.8,PlanA
37,91,4551,725,145,4707,PlanA
38,33,1655,960,192,1891,PlanA
39,11,552,978,195.6,780.6,PlanA
40,97,4855,684,136.8,5041.8,PlanA
41,72,3605,546,109.2,3733.2,PlanA
42,99,4951,997,199.4,5186.4,PlanA
43,67,3352,570,114,3513,PlanA
44,25,1251,965,193,1462,PlanA
45,37,1852,891,178.2,2056.2,PlanA
46,93,4655,863,172.6,4855.6,PlanA
47,12,604,965,193,799,PlanA
48,97,4853,287,57.4,4942.4,PlanA
49,17,853,927,185.4,1053.4,PlanA
50,58,2903,906,181.2,3114.2,PlanA
51,3,152,237,47.4,238.4,PlanA
52,86,4303,116,23.2,4373.2,PlanA
53,61,3054,2,0.4,3071.4,PlanA
54,98,4905,972,194.4,5139.4,PlanA
55,30,1504,291,58.2,1586.2,PlanA
56,9,452,502,100.4,566.4,PlanA
57,99,4955,697,139.4,5130.4,PlanA
58,62,3102,235,47,3176,PlanA
59,93,4653,463,92.6,4767.6,PlanA
60,54,2705,976,195.2,2915.2,PlanA
61,13,651,795,159,822,PlanA
62,87,4353,65,13,4407,PlanA
63,97,4854,188,37.6,4933.6,PlanA
64,96,4805,142,28.4,4834.4,PlanA
65,24,1202,78,15.6,1261.6,PlanA
66,31,1555,530,106,1675,PlanA
67,45,2254,422,84.4,2369.4,PlanA
68,95,4751,447,89.4,4868.4,PlanA
69,77,3853,990,198,4063,PlanA
70,39,1952,210,42,2004,PlanA
71,83,4154,291,58.2,4223.2,PlanA
72,74,3704,256,51.2,3761.2,PlanA
73,37,1852,727,145.4,2022.4,PlanA
74,93,4654,799,159.8,4825.8,PlanA
75,7,355,902,180.4,536.4,PlanA
76,7,352,653,130.6,516.6,PlanA
77,30,1503,59,11.8,1517.8,PlanA
78,46,2302,930,186,2511,PlanA
79,26,1301,100,20,1325,PlanA
80,14,701,463,92.6,799.6,PlanA
81,98,4903,237,47.4,4986.4,PlanA
82,70,3501,773,154.6,3661.6,PlanA
83,19,951,51,10.2,981.2,PlanA
84,88,4405,373,74.6,4514.6,PlanA
85,38,1902,14,2.8,1936.8,PlanA
86,22,1103,73,14.6,1121.6,PlanA
87,78,3904,565,113,4058,PlanA
88,75,3753,472,94.4,3863.4,PlanA
89,77,3854,946,189.2,4047.2,PlanA
90,40,2003,290,58,2069,PlanA
91,31,1552,538,107.6,1699.6,PlanA
92,42,2102,961,192.2,2344.2,PlanA
93,31,1551,505,101,1692,PlanA
94,82,4102,993,198.6,4333.6,PlanA
95,41,2051,934,186.8,2247.8,PlanA
96,7,352,497,99.4,463.4,PlanA
97,87,4352,224,44.8,4405.8,PlanA
98,20,1005,634,126.8,1163.8,PlanA
99,40,2004,224,44.8,2053.8,PlanA
100,76,3801,55,11,3853,PlanA
101,55,2751,169,33.8,2786.8,PlanA
102,32,1602,421,84.2,1732.2,PlanA
103,86,4302,631,126.2,4455.2,PlanA
104,92,4601,431,86.2,4696.2,PlanA
105,24,1201,215,43,1284,PlanA
106,85,4252,468,93.6,4372.6,PlanA
107,64,3203,820,164,3390,PlanA
108,12,601,954,190.8,815.8,PlanA
109,69,3455,46,9.2,3467.2,PlanA
110,5,253,255,51,346,PlanA
111,10,505,867,173.4,709.4,PlanA
112,85,4255,845,169,4440,PlanA
113,17,854,643,128.6,1010.6,PlanA
114,11,554,334,66.8,668.8,PlanA
115,37,1851,517,103.4,1963.4,PlanA
116,24,1202,750,150,1362,PlanA
117,33,1653,305,61,1754,PlanA
118,1,55,652,130.4,193.4,PlanA
119,42,2102,302,60.4,2184.4,PlanA
120,46,2304,314,62.8,2409.8,PlanA
121,100,5001,276,55.2,5085.2,PlanA
122,38,1903,497,99.4,2020.4,PlanA
123,27,1353,364,72.8,1428.8,PlanA
124,88,4404,299,59.8,4502.8,PlanA
125,27,1354,926,185.2,1551.2,PlanA
126,42,2105,175,35,2164,PlanA
127,2,105,995,199,328,PlanA
128,27,1353,733,146.6,1532.6,PlanA
129,23,1154,585,117,1301,PlanA
130,68,3403,617,123.4,3530.4,PlanA
131,6,302,365,73,410,PlanA
132,28,1402,854,170.8,1595.8,PlanA
133,89,4455,494,98.8,4577.8,PlanA
134,74,3703,989,197.8,3915.8,PlanA
135,55,2751,365,73,2858,PlanA
136,6,302,345,69,417,PlanA
137,58,2904,751,150.2,3073.2,PlanA
138,89,4455,885,177,4676,PlanA
139,90,4504,163,32.6,4582.6,PlanA
140,22,1104,274,54.8,1186.8,PlanA
141,48,2401,255,51,2489,PlanA
142,61,3051,609,121.8,3188.8,PlanA
143,35,1752,73,14.6,1787.6,PlanA
144,59,2951,692,138.4,3117.4,PlanA
145,91,4554,952,190.4,4793.4,PlanA
146,6,302,649,129.8,441.8,PlanA
147,42,2103,193,38.6,2191.6,PlanA
148,68,3403,917,183.4,3611.4,PlanA
149,80,4002,525,105,4124,PlanA
150,36,1802,391,78.2,1884.2,PlanA
151,33,1652,304,60.8,1746.8,PlanA
152,34,1701,552,110.4,1848.4,PlanA
153,49,2452,403,80.6,2542.6,PlanA
154,33,1653,270,54,1736,PlanA
155,56,2803,179,35.8,2882.8,PlanA
156,67,3355,989,197.8,3553.8,PlanA
157,38,1902,106,21.2,1931.2,PlanA
158,56,2801,32,6.4,2856.4,PlanA
159,46,2304,540,108,2447,PlanA
160,56,2803,437,87.4,2907.4,PlanA
161,92,4603,743,148.6,4761.6,PlanA
162,7,355,155,31,428,PlanA
163,95,4754,126,25.2,4814.2,PlanA
164,2,102,69,13.8,156.8,PlanA
165,51,2551,953,190.6,2743.6,PlanA
166,27,1354,58,11.6,1414.6,PlanA
167,46,2301,682,136.4,2473.4,PlanA
168,44,2204,234,46.8,2266.8,PlanA
169,100,5002,319,63.8,5093.8,PlanA
170,37,1854,505,101,1966,PlanA
171,71,3554,607,121.4,3692.4,PlanA
172,60,3002,194,38.8,3075.8,PlanA
173,93,4655,320,64,4742,PlanA
174,75,3753,227,45.4,3801.4,PlanA
175,22,1103,499,99.8,1234.8,PlanA
176,14,701,812,162.4,895.4,PlanA
177,93,4652,106,21.2,4718.2,PlanA
178,23,1153,717,143.4,1329.4,PlanA
179,11,552,610,122,694,PlanA
180,22,1102,317,63.4,1173.4,PlanA
181,77,3854,346,69.2,3972.2,PlanA
182,76,3804,627,125.4,3975.4,PlanA
183,78,3903,494,98.8,4050.8,PlanA
184,81,4051,343,68.6,4141.6,PlanA
